Level,4
GO Time,2.816334

721.0637 , 406.1432
723.3584 , 411.297
722.9022 , 414.0703
720.5543 , 418.6782
720.7512 , 422.4341
721.0465 , 428.068
721.35 , 433.8584
721.6453 , 439.4923
721.9406 , 445.1262
722.2359 , 450.76
722.5394 , 456.5504
722.8347 , 462.1843
723.1299 , 467.8182
723.4252 , 473.4521
723.7205 , 479.086
724.024 , 484.8764
724.3193 , 490.5103
724.0418 , 494.5535
723.1593 , 500.1256
722.2767 , 505.6978
721.3697 , 511.4247
720.9272 , 515.1281
722.6705 , 520.4935
724.4139 , 525.8591
725.9507 , 531.3725
725.0178 , 535.1517
723.5576 , 540.6011
722.0974 , 546.0505
720.6372 , 551.4999
719.1364 , 557.1006
717.6763 , 562.55
716.2161 , 567.9994
714.7559 , 573.4487
713.8714 , 577.0793
715.6147 , 582.4448
717.3581 , 587.8104
719.1014 , 593.1758
719.2689 , 596.4176
718.9654 , 602.2079
718.6701 , 607.8419
718.6619 , 607.9984
718.6045 , 609.0939
718.5881 , 609.4069
718.5307 , 610.5023
718.4814 , 611.4413
718.465 , 611.7543
718.3994 , 613.0063
718.2518 , 615.8232
718.1616 , 617.5447
718.0631 , 619.4227
718.0057 , 620.5181
717.9401 , 621.7701
717.858 , 623.3351
719.0054 , 625.912
721.0451 , 630.4932
721.3148 , 632.1958
722.1973 , 637.7681
723.0798 , 643.3401
723.8398 , 648.1384
724.0359 , 649.3766
724.2811 , 650.9245
724.4772 , 652.1628
724.8204 , 654.3297
725.7029 , 659.9019
725.9631 , 665.6273
725.9631 , 666.2463
725.9625 , 666.3375
728.2429 , 669.5318
730.0179 , 670.8214
732.2999 , 672.4794
733.0606 , 673.0321
734.2017 , 673.8611
734.7088 , 674.2296
734.8356 , 674.3217
735.7231 , 674.9665
Stage sum of Path,139.6429
Toatal Time,51
 
 
736.9909 , 675.8876
GO Time,52.80429

737.0895 , 675.7659
738.4702 , 674.0609
740.1563 , 674.4193
745.8279 , 675.6248
751.3463 , 676.7977
756.8646 , 677.9707
762.0764 , 679.0785
764.7592 , 678.2068
770.2737 , 676.415
775.6392 , 674.6717
781.0047 , 672.9283
784.2708 , 673.2075
789.8815 , 673.7972
795.0247 , 674.3378
794.8784 , 674.2816
790.1967 , 672.4845
785.8069 , 673.6608
780.3575 , 675.1209
778.2383 , 675.6888
778.3698 , 675.6035
782.1812 , 673.1282
782.3303 , 673.0798
782.7773 , 672.9345
782.9341 , 672.9345
788.5757 , 672.9345
793.7472 , 672.9345
793.8786 , 672.8492
798.3472 , 669.9472
798.3227 , 670.102
797.6608 , 674.2811
797.7875 , 674.189
802.3517 , 670.8729
803.4928 , 670.0439
803.5781 , 669.9125
804.517 , 668.4668
805.4559 , 667.0211
805.8826 , 666.3639
